"fecha","casos"
2020-11-22,33880
2020-11-23,38396
2020-11-24,51654
2020-11-25,64062
2020-11-26,69658
2020-11-27,67178
2020-11-28,60762
2020-11-29,32304
2020-11-30,37524
2020-12-01,45603
2020-12-02,48742
2020-12-03,69840
2020-12-04,69489
2020-12-05,55282
2020-12-06,37106
2020-12-07,28120
2020-12-08,28293
2020-12-09,55966
2020-12-10,72472
2020-12-11,77585
2020-12-12,62259
2020-12-13,35600
2020-12-14,37161
2020-12-15,40462
2020-12-16,55577
2020-12-17,71020
2020-12-18,73842
2020-12-19,60372
2020-12-20,21137
2020-12-21,25966
2020-12-22,32817
2020-12-23,44270
2020-12-24,47188
2020-12-25,34265
2020-12-26,35700
2020-12-27,26032
2020-12-28,31499
2020-12-29,68383
2020-12-30,38652
2020-12-31,39745
